"id","cout_materiaux_ht","cout_implementation_ht","cout_total_ht","cout_induit_ht","date_sigture_devis","date_facture","date_x","annee_travaux","revenu_mo","climat","Code Région","region","Code département","departement","type_logement","annee_construction","constr_cat","nb_pieces","surf_habitable","montant_aides_fincieres","type_aides_fincieres","renovation_globale","marque","modele","poste_isolation","isolant","epaisseur","resistance","surface","lambda"
"464",,,1460,,"01/01/2013","01/01/2013","01/01/2013",2013,,"H1",28,"NOR","27","EURE","INDIVIDUEL",1975,"de 1974 à 1990",3,96,12827,"AH HABITER MIEUX DEPARTEMENT COMMUUTE DE COMMUNE","Rénovation à plusieurs gestes de travaux",,,"PLANCHER BAS","LAINE MINERALE",260,6.5,20,
"465",,,1470.14218,,,,,,,"H1",84,"ARA","69","RHONE","INDIVIDUEL",1945,"de 1945 à 1973",,66,,,,,,"RAMPANTS",,,,,
"466",,,1472,,"28/10/2016",,"28/10/2016",2016,,"H2",53,"BRE","56","MORBIHAN","INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",300,7.5,41,0.04
"467",,,1472.037915,,,,,,,"H1",84,"ARA","42","LOIRE",,,,,,,,"TRES PERFORMANT - 3 BOUQUETS OU PLUS",,,"RAMPANTS",,,,,
"468",,,1483.412322,,,,,,,"H1",84,"ARA","42","LOIRE",,,,,,,,"PERFORMANT - BOUQUET 2 TRAVAUX",,,"RAMPANTS",,,,,
"469",,,1484.36019,,"03/02/2016",,"03/02/2016",2016,,,75,"NAQ",,,"INDIVIDUEL",,,,,,,,,,"RAMPANTS",,130,6,26.9,
"470",,,1485,,,,,,,,76,"OCC",,,,,,,,,,,,,"RAMPANTS","LAINE VEGETALE",,,15,
"471",,,1485.308057,,,"21/12/2017","21/12/2017",2017,,"H2",53,"BRE",,,"INDIVIDUEL",,,,,,,,,,"PLANCHER BAS","LAINE MINERALE",,3.2,45,
"472",,,1487.203791,,,"14/05/2014","14/05/2014",2014,,"H2",53,"BRE","56","MORBIHAN",,,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",,7,57,
"473",,,1490,,,,,,,,76,"OCC",,,,,,,,,,,,,"RAMPANTS","LAINE VEGETALE",,,14,
"474",998.1042654,493.8388626,1491.943128,,,"20/02/2013","20/02/2013",2013,,"H2",53,"BRE","56","MORBIHAN",,,,,,,,,,,"COMBLES PERDUES","LAINE VEGETALE",,6,27,
"475",393.3649289,1100.473934,1493.838863,,,,,,,"H2",76,"OCC",,,"INDIVIDUEL",1980,"de 1974 à 1990",,,,,"RENOVATION SIMPLE",,,"COMBLES PERDUES",,,,,
"476",,,1493.838863,,,,,,,,75,"NAQ",,,"INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",320,7,68,
"477",,,1500,,"01/01/2013","01/01/2013","01/01/2013",2013,,"H1",28,"NOR",,,"INDIVIDUEL",1880,"av. 1945",4,88,14900,"AH HABITER MIEUX COMMUUTE DE COMMUNE COMMUUTE DE COMMUNE","Rénovation à plusieurs gestes de travaux",,,"COMBLES PERDUES","LAINE MINERALE",,,35,
"478",,,1500.473934,,,"07/04/2011","07/04/2011",2011,,"H2",24,"CVL",,,,,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",230,7.5,50,
"479",,,1500.473934,,,,,,,"H1",84,"ARA","69","RHONE","INDIVIDUEL",1983,"de 1974 à 1990",,100,,,,,,"RAMPANTS",,,,,
"480",,,1507.109005,,,"16/05/2014","16/05/2014",2014,,"H2",53,"BRE","56","MORBIHAN",,,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",,7,57,
"481",,,1507.109005,,,"12/09/2014","12/09/2014",2014,,"H2",53,"BRE","56","MORBIHAN",,,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",,7,53,
"482",,,1508.056872,,,,,,,"H2",53,"BRE","35","ILLE-ET-VILAINE",,1700,"av. 1945",,28,,,,,,"ITI",,,,,
"483",,,1510.900474,,,,,,,"H1",84,"ARA","42","LOIRE",,,,,,,,,,,,,,,,
"484",,,1512,,"14/10/2015",,"14/10/2015",2015,,"H2",53,"BRE","56","MORBIHAN","INDIVIDUEL",,,,,,,,,,"RAMPANTS","LAINE MINERALE",100,3.2,84,0.0317
"485",,,1515.63981,,"01/10/2015",,"01/10/2015",2015,,,75,"NAQ",,,"INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",350,7,76,
"486",,,1516.587678,,,"24/10/2016","24/10/2016",2016,,"H2",53,"BRE",,,"INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",,7,54,
"487",,,1516.587678,,,,,,,"H1",84,"ARA","42","LOIRE",,,,,,,,,,,"RAMPANTS",,,,,
"488",,,1516.587678,,,"14/11/2011","14/11/2011",2011,,"H1",24,"CVL",,,,,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",350,7.5,25,
"489",,,1516.587678,,,"18/07/2011","18/07/2011",2011,,"H2",24,"CVL","41","LOIR-ET-CHER",,,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",340,7.5,20,
"490",944.0758294,573.4597156,1517.535545,,,"08/07/2014","08/07/2014",2014,,"H1",24,"CVL","28","EURE-ET-LOIR",,,,,,,,,,,"ITE","PLASTIQUES",,3.7,38,
"491",,,1521,,,,,,,"H1",28,"NOR",,,"INDIVIDUEL",,,,66,1600,"AH- PRIME AIDE DE SOLIDARITE ENERGETIQUE ASE","isolation plancher combles

+ 1 fen�tre + 1 volet + vmc hygro B",,,"COMBLES PERDUES",,,,,
"492",,,1521,,,,,,,"H1",28,"NOR",,,"INDIVIDUEL",,,,66,675,"AH - TRAVAUX D'AMELIORATION ENERGETIQUE","isolation plancher combles

+ 1 fen�tre + 1 volet + vmc hygro B",,,"COMBLES PERDUES",,,,,
"493",,,1521,,,,,,,"H1",28,"NOR",,,"INDIVIDUEL",,,,66,902,"DEPT - AIDE A L'HABITAT DURABLE","isolation plancher combles

+ 1 fen�tre + 1 volet + vmc hygro B",,,"COMBLES PERDUES",,,,,
"494",,,1522.274882,,,,,,,"H1",84,"ARA","42","LOIRE",,,,,,,,"PERFORMANT - BOUQUET 2 TRAVAUX",,,"RAMPANTS",,,,,
"495",,,1527.962085,,,"12/12/2011","12/12/2011",2011,,"H1",24,"CVL",,,,,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",350,7.5,31,
"496",,,1529.85782,,,,,,,"H2",53,"BRE","35","ILLE-ET-VILAINE",,1900,"av. 1945",,164,,,,,,"ITI",,,,,
"497",,,1529.85782,,"31/08/2012",,"31/08/2012",2012,,,75,"NAQ",,,"INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES","LAINE VEGETALE",400,8,160,
"498",,,1529.85782,,,"24/05/2010","24/05/2010",2010,,"H2",24,"CVL","41","LOIR-ET-CHER",,,,,,,,,,,"ITE","LAINE MINERALE",100,3.2,42,
"499",,,1530,,"14/11/2017","19/04/2018","19/04/2018",2018,,"H2",53,"BRE","22","COTES-D'ARMOR","INDIVIDUEL",1974,"de 1974 à 1990",,72,,,"false",,,"ITI","LAINE MINERALE",120,3.8,38,
"500",,,1530.805687,,,,,,,"H2",53,"BRE",,,,,,,,,,,,,"RAMPANTS","LAINE VEGETALE",,6.4,72,
"501",893.8388626,639.8104265,1533.649289,,,"11/09/2011","11/09/2011",2011,,"H2",24,"CVL",,,,,,,,,,,,,"RAMPANTS","LAINE VEGETALE",200,5,21,
"502",,,1535.545024,,,,,,,"H1",84,"ARA","42","LOIRE",,,,,,,,"BBC RENOVATION",,,,,,,,
"503",,,1538.388626,,,"13/10/2014","13/10/2014",2014,,"H2",53,"BRE","56","MORBIHAN",,,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",,7.5,82,
"504",,,1539.336493,,,"05/12/2016","05/12/2016",2016,,"H2",53,"BRE",,,"INDIVIDUEL",,,,,,,,,,"ITI","LAINE MINERALE",,3.8,27,
"505",,,1539.336493,,,,,,,"H2",53,"BRE","35","ILLE-ET-VILAINE",,1888,"av. 1945",,126,,,,,,"COMBLES PERDUES",,,,,
"506",,,1540,,"22/02/2016",,"22/02/2016",2016,,"H2",53,"BRE","56","MORBIHAN","INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",330,7,44,0.0471
"507",,,1540,,"12/01/2017","08/06/2018","08/06/2018",2018,,"H1",24,"CVL","45","LOIRET","INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",350,7,45,
"508",,,1541.232227,,,"22/03/2013","22/03/2013",2013,,"H2",24,"CVL","36","INDRE",,,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",260,6.5,76,0.04
"509",,,1544,,"01/01/2013","01/01/2013","01/01/2013",2013,,"H1",28,"NOR","27","EURE","INDIVIDUEL",1970,"de 1945 à 1973",5,140,5302,"AH HABITER MIEUX DEPARTEMENT COMMUUTE DE COMMUNE","Rénovation à plusieurs gestes de travaux",,,"COMBLES PERDUES","LAINE MINERALE",200,4.3,140,
"510",,,1545,,,,,,,"H1",28,"NOR",,,"INDIVIDUEL",,,,70,1040,"AH- PRIME AIDE DE SOLIDARITE ENERGETIQUE ASE","chaudi�re gaz et ecs

+ vannes th. et programmateur

+ fen�tre au Nord

+ vmc hygro B

+ isolation plafond ch. adulte",,,"COMBLES PERDUES",,,,,
"511",,,1545,,,,,,,"H1",28,"NOR",,,"INDIVIDUEL",,,,70,5199,"AH - TRAVAUX D'AMELIORATION ENERGETIQUE","chaudi�re gaz et ecs

+ vannes th. et programmateur

+ fen�tre au Nord

+ vmc hygro B

+ isolation plafond ch. adulte",,,"COMBLES PERDUES",,,,,
"512",,,1545,,,,,,,"H1",28,"NOR",,,"INDIVIDUEL",,,,70,2000,"CODAH - ASE","chaudi�re gaz et ecs

+ vannes th. et programmateur

+ fen�tre au Nord

+ vmc hygro B

+ isolation plafond ch. adulte",,,"COMBLES PERDUES",,,,,
"513",,,1549.763033,,,,,,,"H2",53,"BRE","35","ILLE-ET-VILAINE",,1948,"de 1945 à 1973",,80,,,,,,"ITI",,,,,
"514",,,1549.763033,,,,,,,"H1",84,"ARA","42","LOIRE",,,,,,,,"PERFORMANT - BOUQUET 2 TRAVAUX",,,"RAMPANTS",,,,,
"515",,,1550.7109,,"20/07/2016",,"20/07/2016",2016,,,75,"NAQ",,,"INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",370,8,81.52,
"516",,,1556.398104,,,"29/11/2011","29/11/2011",2011,,"H1",24,"CVL","28","EURE-ET-LOIR",,,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",100,2.7,31,
"517",,,1560.189573,,,"30/07/2014","30/07/2014",2014,,"H2",53,"BRE","56","MORBIHAN",,,,,,,,,,,"PLANCHER BAS","LAINE VEGETALE",,3.8,24,
"518",,,1561.137441,,,,,,,"H2",53,"BRE","35","ILLE-ET-VILAINE",,1900,"av. 1945",,137,,,,,,"COMBLES PERDUES",,,,,
"519",,,1563.033175,,,"21/12/2011","21/12/2011",2011,,"H2",24,"CVL",,,,,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",340,7.5,39,
"520",,,1564,,"10/05/2016",,"10/05/2016",2016,,"H2",53,"BRE","56","MORBIHAN","INDIVIDUEL",,,,,,,,,,,"LAINE MINERALE",200,6.3,92,0.0317
"521",,,1566.824645,,,"10/12/2009","10/12/2009",2009,,"H2",24,"CVL","41","LOIR-ET-CHER",,,,,,,,,,,"RAMPANTS","LAINE MINERALE",260,8.1,29,0.032
"522",,,1569.668246,,,,,,,"H1",84,"ARA","69","RHONE","INDIVIDUEL",1984,"de 1974 à 1990",,90,,,,,,"RAMPANTS",,,,,
"523",,,1575,,"14/02/2018","07/06/2018","07/06/2018",2018,,"H1",24,"CVL","45","LOIRET","INDIVIDUEL",,,,,,,,"ISOVER","IBR","COMBLES PERDUES","LAINE MINERALE",,7.5,63,
"524",,,1575.35545,,,,,,,"H1",32,"HDF","60","OISE","INDIVIDUEL",1900,"av. 1945",,120,,,"Rénovation à plusieurs gestes de travaux",,,"ITE",,,,,
"525",,,1575.35545,,,,,,,"H1",84,"ARA","42","LOIRE",,,,,,,,"PERFORMANT - BOUQUET 2 TRAVAUX",,,"RAMPANTS",,,,,
"526",1268,308,1576,,"01/01/2013","01/01/2013","01/01/2013",2013,,"H1",28,"NOR","27","EURE","INDIVIDUEL",1968,"de 1945 à 1973",4,85,7364,"AH HABITER MIEUX","Rénovation à plusieurs gestes de travaux",,,"COMBLES PERDUES","LAINE MINERALE",300,7,75,
"527",,,1580.094787,,,,,,,"H2",53,"BRE",,,,,,,,,,,,,"RAMPANTS","LAINE VEGETALE",,6.4,72,
"528",,,1584,,,,,,,"H1",28,"NOR",,,"INDIVIDUEL",,,,68,3500,"AH- PRIME AIDE DE SOLIDARITE ENERGETIQUE ASE","Changement chaudi�re pour chaudi�re avec ecs et ballon

+ radiateur dans future sdb

+ agrandissement pi�ce 10 må_ en sdb

+ isolation plafond cave

+ isolation plafond R+1 avec trappe à créer

+ porte + fen�tres + volets",,,"ITI",,,,,
"529",,,1584,,,,,,,"H1",28,"NOR",,,"INDIVIDUEL",,,,68,10000,"AH - TRAVAUX D'AMELIORATION ENERGETIQUE","Changement chaudi�re pour chaudi�re avec ecs et ballon

+ radiateur dans future sdb

+ agrandissement pi�ce 10 må_ en sdb

+ isolation plafond cave

+ isolation plafond R+1 avec trappe à créer

+ porte + fen�tres + volets",,,"ITI",,,,,
"530",,,1584,,,,,,,"H1",28,"NOR",,,"INDIVIDUEL",,,,68,2500,"INCONNU","Changement chaudi�re pour chaudi�re avec ecs et ballon

+ radiateur dans future sdb

+ agrandissement pi�ce 10 må_ en sdb

+ isolation plafond cave

+ isolation plafond R+1 avec trappe à créer

+ porte + fen�tres + volets",,,"ITI",,,,,
"531",,,1584,,,,,,,"H1",28,"NOR",,,"INDIVIDUEL",,,,68,2000,"CODAH - ASE","Changement chaudi�re pour chaudi�re avec ecs et ballon

+ radiateur dans future sdb

+ agrandissement pi�ce 10 må_ en sdb

+ isolation plafond cave

+ isolation plafond R+1 avec trappe à créer

+ porte + fen�tres + volets",,,"ITI",,,,,
"532",1021,565,1586,137,"04/11/2018",,"04/11/2018",2018,3709,"H3",94,"COR","2B","HAUTE-CORSE","INDIVIDUEL",1990,"de 1974 à 1990",4,112,,,"Rénovation à plusieurs gestes de travaux",,,"COMBLES PERDUES","LAINE VEGETALE",280,7,48,0.038
"533",,,1586.729858,,,"23/09/2014","23/09/2014",2014,,"H2",53,"BRE","56","MORBIHAN",,,,,,,,,,,"COMBLES PERDUES","LAINE VEGETALE",,7,69,
"534",1588,,1588,746.597156,"21/05/2018","24/08/2018","24/08/2018",2018,,"H3",94,"COR","2A","CORSE-DU-SUD","INDIVIDUEL",1989,"de 1974 à 1990",3,106,700,"AGIR +","RENOVATION A PLUSIEURS GESTES DE TRAVAUX",,,"RAMPANTS","LAINE MINERALE",300,7.5,50,
"535",,,1590.521327,,,,,,35975,"H1",32,"HDF","02","AISNE","INDIVIDUEL",1949,"de 1945 à 1973",,70,,,"Rénovation à plusieurs gestes de travaux",,,"COMBLES PERDUES",,,,,
"536",,,1592,,,,,,,"H1",28,"NOR",,,"INDIVIDUEL",,,,45,1703,"CODAH - ASE","portes et fen�tres + isolation + électricité + robinets th",,,"ITI",,,,,
"537",,,1592,,,,,,,"H1",28,"NOR",,,"INDIVIDUEL",,,,45,4393,"AH - TRAVAUX D'AMELIORATION ENERGETIQUE","portes et fen�tres + isolation + électricité + robinets th",,,"ITI",,,,,
"538",,,1592,,,,,,,"H1",28,"NOR",,,"INDIVIDUEL",,,,45,3500,"AH- PRIME AIDE DE SOLIDARITE ENERGETIQUE ASE","portes et fen�tres + isolation + électricité + robinets th",,,"ITI",,,,,
"539",,,1592.417062,,,"19/01/2015","19/01/2015",2015,,"H2",53,"BRE","56","MORBIHAN",,,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",,7,40,
"540",,,1594,,"01/01/2013","01/01/2013","01/01/2013",2013,,"H1",28,"NOR",,,"INDIVIDUEL",1992,"ap. 1990",7,112,11841,"AH HABITER MIEUX DEPARTEMENT COMMUUTE DE COMMUNE","Rénovation à plusieurs gestes de travaux",,,"COMBLES PERDUES","LAINE VEGETALE",280,7,42,
"541",,,1599,,"20/07/2018",,"20/07/2018",2018,,"H1",27,"BFC",,,"INDIVIDUEL",2002,"ap. 1990",,,,,"Rénovation à plusieurs gestes de travaux",,,"COMBLES PERDUES","LAINE VEGETALE",140,3.7,20.5,
"542",,,1599.052133,,"05/11/2015",,"05/11/2015",2015,,,75,"NAQ",,,"INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",320,7,82,
"543",1000,600,1600,,,,,,,"H2",84,"ARA","26","DROME","INDIVIDUEL",,,,,,,"RENOVATION LOURDE",,,"COMBLES PERDUES",,,,,
"544",,,1600,,,,,,,"H2",84,"ARA",,,,,,,,,,,,,"COMBLES PERDUES",,,,,
"545",,,1600,,"25/11/2015",,"25/11/2015",2015,,,76,"OCC",,,"INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES",,300,7.5,66.5,
"546",,,1600,,,,,,,,76,"OCC",,,,,,,,,,,,,"COMBLES PERDUES","LAINE VEGETALE",,,80,
"547",,,1601.895735,,,,,,,"H1",84,"ARA","69","RHONE","INDIVIDUEL",1984,"de 1974 à 1990",,80,,,,,,"RAMPANTS",,,,,
"548",,,1603.791469,,,,,,17384,"H1",32,"HDF","80","SOMME","INDIVIDUEL",1900,"av. 1945",,54,,,"Rénovation à plusieurs gestes de travaux",,,"ITE",,,,,
"549",,,1604,,,,,,,"H1",28,"NOR",,,"INDIVIDUEL",,,,52,3500,"AH- PRIME AIDE DE SOLIDARITE ENERGETIQUE ASE","isolation des murs par l'extérieur

Autonomie ?",,,"COMBLES PERDUES",,,,,
"550",,,1604,,,,,,,"H1",28,"NOR",,,"INDIVIDUEL",,,,52,6147,"AH - TRAVAUX D'AMELIORATION ENERGETIQUE","isolation des murs par l'extérieur

Autonomie ?",,,"COMBLES PERDUES",,,,,
"551",,,1604,,,,,,,"H1",28,"NOR",,,"INDIVIDUEL",,,,52,2400,"CODAH - ASE","isolation des murs par l'extérieur

Autonomie ?",,,"COMBLES PERDUES",,,,,
"552",,,1608.530806,,,"26/02/2017","26/02/2017",2017,,"H2",53,"BRE","56","MORBIHAN",,,,,,,,,,,"COMBLES PERDUES","LAINE VEGETALE",,8,65,
"553",779.1469194,829.3838863,1608.530806,,,"02/01/2011","02/01/2011",2011,,"H2",24,"CVL","18","CHER",,,,,,,,,,,"RAMPANTS","LAINE MINERALE",240,6,63,
"554",,,1610,,"30/11/2015",,"30/11/2015",2015,,"H2",53,"BRE","56","MORBIHAN","INDIVIDUEL",,,,,,,,,,"ITI","LAINE MINERALE",120,3.8,107.36,0.032
"555",,,1611.374408,,,,,,,"H1",32,"HDF","60","OISE","INDIVIDUEL",1900,"av. 1945",,140,,,"Rénovation à plusieurs gestes de travaux",,,"COMBLES PERDUES",,,,,
"556",,,1611.374408,,"29/09/2016",,"29/09/2016",2016,,,75,"NAQ",,,"INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",400,7,100,
"557",,,1613.270142,,,,,,,"H1",84,"ARA","42","LOIRE",,,,,,,,"BBC RENOVATION",,,"RAMPANTS",,,,,
"558",,,1614,896.7815166,"04/03/2018","05/11/2018","05/11/2018",2018,,"H1",27,"BFC","21","COTE-D'OR","INDIVIDUEL",1998,"ap. 1990",,,1250,"AIDE TERRITOIRE","Rénovation à plusieurs gestes de travaux","IGLOO",,"COMBLES PERDUES","LAINE MINERALE",310,8,103,
"559",,,1614.218009,,"17/12/2015",,"17/12/2015",2015,,,75,"NAQ",,,"INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",330,7,100,
"560",,,1615.165877,,"17/06/2015",,"17/06/2015",2015,,,75,"NAQ",,,"INDIVIDUEL",,,,,,,,,,,"LAINE VEGETALE",300,7.5,67.99,
"561",988.6255924,626.5402844,1615.165877,,,"01/12/2012","01/12/2012",2012,,"H1",24,"CVL","28","EURE-ET-LOIR",,,,,,,,,,,"COMBLES PERDUES","LAINE VEGETALE",360,9.5,40,0.038
"562",,,1618.957346,,"22/07/2016",,"22/07/2016",2016,,,75,"NAQ",,,"INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES","LAINE VEGETALE",350,7,81.52,
"563",,,1619.905213,,,,,,,"H1",84,"ARA","69","RHONE","INDIVIDUEL",1945,"de 1945 à 1973",,90,,,,,,"PLANCHER BAS",,,,,
"564",,,1622.748815,,,"24/05/2016","24/05/2016",2016,,"H2",53,"BRE",,,"INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES","LAINE VEGETALE",,8.5,56.1,
"565",,,1623.696682,,,,,,,"H1",32,"HDF","60","OISE","INDIVIDUEL",1949,"de 1945 à 1973",,78,,,"Rénovation à plusieurs gestes de travaux",,,"ITE",,,,,
"566",,,1624,,"27/07/2016",,"27/07/2016",2016,,"H2",53,"BRE","56","MORBIHAN","INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",320,7.1,58,0.045
"567",,,1625.592417,,,,,,,"H1",84,"ARA","42","LOIRE",,,,,,,,"PERFORMANT - BOUQUET 2 TRAVAUX",,,"RAMPANTS",,,,,
"568",545.0236967,1090.047393,1635.07109,,,"12/11/2013","12/11/2013",2013,,"H1",24,"CVL","28","EURE-ET-LOIR",,,,,,,,,,,"ITE","LAINE VEGETALE",160,4.2,19,0.038
"569",1056.872038,580.0947867,1636.966825,,,"12/09/2010","12/09/2010",2010,,"H1",24,"CVL","28","EURE-ET-LOIR",,,,,,,,,,,"COMBLES PERDUES","LAINE VEGETALE",350,7.5,62,0.038
"570",,,1639.810427,,,"30/06/2017","30/06/2017",2017,,"H2",53,"BRE",,,"INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES","LAINE VEGETALE",,7,62,
"571",,,1639.810427,,,"01/10/2012","01/10/2012",2012,,"H2",24,"CVL",,,,,,,,,,,,,"COMBLES PERDUES","LAINE VEGETALE",390,7.5,23,
"572",,,1645.49763,,,"12/08/2014","12/08/2014",2014,,"H1",24,"CVL","28","EURE-ET-LOIR",,,,,,,,,,,"COMBLES PERDUES","LAINE VEGETALE",400,7.8,22,
"573",,,1646,,"24/11/2017","19/04/2018","19/04/2018",2018,,"H2",53,"BRE","22","COTES-D'ARMOR","INDIVIDUEL",1934,"av. 1945",,193,,,"false",,,"ITI","LAINE VEGETALE",145,3.8,24,
"574",,,1647.393365,,,"15/10/2013","15/10/2013",2013,,"H2",53,"BRE","56","MORBIHAN",,,,,,,,,,,"COMBLES PERDUES","LAINE VEGETALE",,7,37,
"575",,,1649.2891,,,,,,,"H1",84,"ARA","42","LOIRE",,,,,,,,"PERFORMANT - BOUQUET 2 TRAVAUX",,,"RAMPANTS",,,,,
"576",,,1649.2891,,"08/10/2015",,"08/10/2015",2015,,,75,"NAQ",,,"INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",350,7.5,80,
"577",,,1651.184834,,,,,,,"H1",84,"ARA","42","LOIRE","INDIVIDUEL",,,,95,,,,,,"RAMPANTS",,,,,
"578",,,1654.976303,,,,,,,"H2",53,"BRE","35","ILLE-ET-VILAINE",,1900,"av. 1945",,135,,,,,,"COMBLES PERDUES",,,,,
"579",,,1654.976303,,,,,,,"H2",53,"BRE","35","ILLE-ET-VILAINE",,1948,"de 1945 à 1973",,64,,,,,,"PLANCHER BAS",,,,,
"580",,,1655,,,"19/01/2017","19/01/2017",2017,,,,"Z_Non Connu",,,,,,,,0,,,,,"COMBLES PERDUES","LAINE VEGETALE",330,7,35,
"581",,,1655,,,"19/01/2017","19/01/2017",2017,,"H2",53,"BRE",,,,,,,,,,,,,"COMBLES PERDUES","LAINE VEGETALE",330,7,35,
"582",,,1655.924171,,,,,,,"H1",84,"ARA","42","LOIRE",,,,,,,,"TRES PERFORMANT - 3 BOUQUETS OU PLUS",,,"RAMPANTS",,,,,
"583",,,1657.819905,,"17/11/2015",,"17/11/2015",2015,,,75,"NAQ",,,"INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES","LAINE VEGETALE",350,7,104,
"584",,,1660,,"09/06/2016",,"09/06/2016",2016,,"H2",53,"BRE","56","MORBIHAN","INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES","LAINE VEGETALE",280,7,46.81,0.04
"585",,,1660,,,,,,,,76,"OCC",,,,,,,,,,,,,"COMBLES PERDUES",,,,85,
"586",,,1661,,,,,,,"H2",84,"ARA",,,,,,,,,,,,,"COMBLES PERDUES",,,,,
"587",1000,661,1661,,,,,,30682,"H2",84,"ARA","26","DROME","INDIVIDUEL",1980,"de 1974 à 1990",,90,,,"RENOVATION LOURDE",,,"COMBLES PERDUES",,,,,
"588",,,1664.454976,,,,,,,"H1",84,"ARA","42","LOIRE",,,,,,,,"TRES PERFORMANT - 3 BOUQUETS OU PLUS",,,"ITI",,,,,
"589",,,1666.350711,,,,,,,"H2",53,"BRE","35","ILLE-ET-VILAINE",,1930,"av. 1945",,100,,,,,,"COMBLES PERDUES",,,,,
"590",,,1669.194313,,,,,,,"H1",84,"ARA","42","LOIRE",,,,,,,,"TRES PERFORMANT - 3 BOUQUETS OU PLUS",,,"RAMPANTS",,,,,
"591",,,1675.829384,,,"19/12/2009","19/12/2009",2009,,"H2",24,"CVL",,,,,,,,,,,,,"COMBLES PERDUES","LAINE VEGETALE",280,6,36,
"592",,,1679.620853,,,"22/04/2010","22/04/2010",2010,,"H1",24,"CVL",,,,,,,,,,,,,"RAMPANTS","LAINE VEGETALE",250,5.5,28,
"593",,,1679.620853,,,"29/06/2010","29/06/2010",2010,,"H2",24,"CVL","36","INDRE",,,,,,,,,,,"ITE","LAINE MINERALE",120,3.2,50,
"594",,,1687.203791,,,,,,,"H2",53,"BRE","35","ILLE-ET-VILAINE",,1900,"av. 1945",,130,,,,,,"COMBLES PERDUES",,,,,
"595",,,1692,,"28/02/2018",,"28/02/2018",2018,,"H2",53,"BRE",,,,,,,,,,,,,"ITI","LAINE VEGETALE",160,4.2,29,0.038
"596",,,1694.78673,,"13/06/2016",,"13/06/2016",2016,,,75,"NAQ",,,"INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",325,7,82,
"597",,,1694.78673,,,,,,,"H1",84,"ARA","69","RHONE","INDIVIDUEL",1945,"de 1945 à 1973",,84,,,,,,"RAMPANTS",,,,,
"598",,,1696.682464,,,"26/09/2014","26/09/2014",2014,,"H2",53,"BRE","56","MORBIHAN",,,,,,,,,,,"ITI","LAINE MINERALE",,3.8,29,
"599",1037,660.630332,1697.630332,,"30/08/2016",,"30/08/2016",2016,,"H2",53,"BRE","56","MORBIHAN","INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES","LAINE VEGETALE",280,7,80.8,0.04
"600",,,1697.630332,,"11/11/2015",,"11/11/2015",2015,,,75,"NAQ",,,"INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",330,7,74.5,
"601",,,1699.526066,,,,,,,"H1",84,"ARA","42","LOIRE",,,,,,,,"TRES PERFORMANT - 3 BOUQUETS OU PLUS",,,"RAMPANTS",,,,,
"602",,,1699.526066,,,"25/05/2009","25/05/2009",2009,,"H1",24,"CVL",,,,,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",230,5,49,
"603",,,1700,,"05/01/2016",,"05/01/2016",2016,,"H2",53,"BRE","56","MORBIHAN","INDIVIDUEL",,,,,,,,,,"COMBLES PERDUES","LAINE MINERALE",320,7,50,0.0457
